标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
奔驰C级 2023款 改款 C 260 L 运动版,奔驰,奔驰C级,运动版,2023,2023,28.68,5.74万,1.08万公里,西安
日产轩逸 2021款 1.6XL CVT 悦享版,日产,日产轩逸,悦享版,2021,2022,9.08,1.82万,2.83万公里,南宁
别克昂科拉 2015款 1.4T G 自动 两驱 都市精英型,别克,别克昂科拉,两驱,2015,2016,4.008,0.80万,3.10万公里,淄博
宝马4系 2014款 420i 2.0T 手自一体 设计套装型 敞篷轿跑车,宝马,宝马4系,设计套装型,2014,2015,15.38,3.08万,4.19万公里,海口
宝马1系 2021款 改款 120i M运动曜夜版,宝马,宝马1系,M运动曜夜版,2021,2022,12.88,2.58万,2.86万公里,北京
宝骏530 2019款 1.5T CVT 精英型 5座 国VI,宝骏,宝骏530,5座,2019,2020,4.55,0.91万,4.61万公里,哈尔滨
本田凌派 2019款 180TURBO CVT 豪华版 国V,本田,本田凌派,国V,2019,2020,6.32,1.26万,4.54万公里,柳州
雪佛兰探界者 2021款 535T 两驱 领界版,雪佛兰,雪佛兰探界者,领界版,2021,2021,9.89,1.98万,3.31万公里,淄博
别克凯越 2013款 1.5L 手动 经典型,别克,别克凯越,手动,2013,2014,1.2,0.24万,10.26万公里,昆明
日产逍客 2015款 2.0 XL 酷火 MT 2WD,日产,日产逍客,MT,2015,2015,3.9,0.78万,5.89万公里,呼和浩特
吉利汽车吉利缤越 2020款 PRO 240T 双离合 猎手,吉利汽车,吉利汽车吉利缤越,双离合,2020,2020,6.18,1.24万,1.78万公里,广州
奔驰E级 2017款 E 300 L 时尚版 运动轿车,奔驰,奔驰E级,运动轿车,2017,2017,23.88,4.78万,9.64万公里,济宁
丰田RAV4荣放 2019款 2.0L CVT 两驱 先锋版 国VI,丰田,丰田RAV4荣放,国VI,2019,2019,10.88,2.18万,6.22万公里,石家庄
一汽-大众CC 2016款 1.8T 双离合 豪华版,大众,一汽-大众CC,豪华版,2016,2016,8.7,1.74万,8.98万公里,石家庄
大众探岳 2022款 380TSI 四驱R-Line智联版,大众,大众探岳,四驱R-Line智联版,2022,2022,16.4,3.28万,3.19万公里,乌鲁木齐
长安逸动 2021款 PLUS 蓝鲸NE 1.4T GDI 双离合 旗舰版,长安,长安逸动,旗舰版,2021,2021,6.03,1.21万,6.97万公里,北京
大众速腾 2020款 200TSI 双离合 舒适型 国VI,大众,大众速腾,舒适型,2020,2020,6.8,1.36万,9.77万公里,沈阳
